"ID_ESCOLA","ID_REGIAO","ID_MUNICIPIO","IN_PUBLICA","ID_LOCALIZACAO","NIVEL_SOCIO_ECONOMICO","MEDIA_5EF_LP_2017","MEDIA_5EF_LP_2021","MEDIA_5EF_MT_2017","MEDIA_5EF_MT_2021","MEDIA_9EF_LP_2017","MEDIA_9EF_LP_2021","MEDIA_9EF_MT_2017","MEDIA_9EF_MT_2021","MEDIA_EM_LP_2017","MEDIA_EM_LP_2021","MEDIA_EM_MT_2017","MEDIA_EM_MT_2021"
61206442,5,6310632,1,1,"Grupo 4",228.83,NA,238.83,NA,NA,NA,NA,NA,NA,NA,NA,NA
61185985,5,6310632,1,1,"Grupo 4",241.32,NA,251.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
61236500,5,6310632,1,1,"Grupo 4",214.01,NA,227.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
61200644,5,6310632,1,1,"Grupo 3",223.34,NA,243.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
61199182,5,6310636,1,1,"Grupo 3",221.95,NA,226.69,NA,259.04,NA,259.45,NA,268.81,NA,262.16,NA
61225944,5,6310636,1,1,"Grupo 3",201.49,NA,204.34,NA,255.09,NA,247.45,NA,NA,NA,NA,NA
61216391,5,6310636,1,2,"",216.67,NA,222.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
61199183,5,6310573,1,1,"Grupo 3",192.58,NA,200.89,NA,256.67,NA,258.96,NA,268.5,NA,271.26,NA
61189905,5,6310573,1,1,"Grupo 4",237.2,NA,237.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
61245870,5,6310573,1,2,"",211.89,NA,219.9,NA,273.78,NA,296.59,NA,NA,NA,NA,NA
61216392,5,6310582,1,1,"Grupo 6",NA,NA,NA,NA,325.6,NA,345.45,NA,342.35,NA,389.24,NA
61210775,5,6310582,1,1,"Grupo 5",NA,NA,NA,NA,271.68,NA,269.27,NA,299.39,NA,283.49,NA
61233562,5,6310582,1,1,"Grupo 4",187.67,NA,195.08,NA,248.35,NA,244.96,NA,NA,NA,NA,NA
